Temperature,Actual Conductivity,Dissolved Oxygen,Turbidity,Chlorophyll-a
29.77222,94.6411,7.02025,34.84297,5.52986
29.86405,94.37135,8.351162,43.48498,5.826628
29.83622,94.20192,7.999512,49.37312,5.96246
29.85608,94.19084,8.097801,67.15844,6.30125
29.84267,94.18065,8.474797,49.59773,5.857655
29.82276,94.15155,7.995972,36.01133,5.891485
29.84087,94.15565,7.935595,53.05208,6.140808
29.85175,94.21515,7.967025,80.18084,6.05092
29.84845,94.29148,8.036907,48.70328,5.941243
29.90561,94.39114,7.582411,52.49044,5.916111
29.91042,94.28246,7.984805,47.70274,5.992861
29.95572,94.4826,8.22026,55.51004,5.853822
29.85961,94.14152,8.137185,49.32067,5.893114
29.86943,94.20725,7.706064,34.28769,5.550593
29.93857,94.78207,8.25396,45.73073,5.798706
29.90482,94.4456,7.881962,40.9903,5.502232
29.94326,94.61693,8.667336,62.56969,5.202926
30.01038,95.27348,8.588986,47.07776,5.174818
29.98498,95.42433,7.81182,66.28581,5.071434
29.99877,95.01198,9.641609,43.77193,5.081779
30.00425,95.47685,8.622489,51.94984,5.102729
29.88888,95.32593,6.567981,37.26436,5.094219
30.05772,95.61354,9.595151,41.77812,4.888108
30.00634,95.72044,9.185218,66.08911,5.203066
30.06809,96.16789,10.73025,42.49513,5.127561
29.97927,95.74004,8.903952,44.20929,5.378907
29.96456,95.49503,8.883524,50.58408,5.102835
29.96165,95.61658,8.648157,26.29082,5.077255
29.97031,95.61076,9.516867,41.28344,5.081038
30.00346,95.66053,10.79087,46.45193,5.016109
29.97764,95.58961,10.43103,66.45849,5.1801
29.90255,95.44041,10.36411,37.69222,4.894127
29.92097,95.62905,9.350803,64.80829,5.00892
29.90705,95.38881,10.07412,44.02038,5.089815
29.91398,95.37511,10.47868,28.83524,5.350568
29.90614,95.38107,10.06648,64.28681,5.32477
29.88249,95.20999,9.799799,34.89589,5.346616
29.85754,95.10836,9.929243,42.02883,5.171898
29.83072,94.95229,9.7057,54.34784,5.182946
29.7832,94.65807,7.599191,48.89799,5.285806
29.82161,94.79037,9.149414,33.16645,5.138125
29.80844,94.79362,8.754502,50.9796,5.701528
29.77883,94.88528,8.43361,39.56197,7.704971
29.79887,94.82516,9.105828,44.37435,5.712017
29.79838,94.7696,8.669832,51.58652,5.958757
29.81025,94.83595,8.742766,38.73172,6.195256
29.79615,94.79539,7.606103,50.98738,5.908945
29.7752,94.68751,6.834741,59.9622,6.676446
29.7903,94.4448,7.235844,42.86273,6.114057
29.79191,94.43003,7.106543,67.82565,5.946812
29.78661,94.65523,6.515749,43.319,5.28348
29.80198,94.54868,6.945618,45.52378,5.597684
29.81266,94.53694,7.493624,32.47124,5.699547
29.83301,95.0984,7.861956,40.94801,5.322849
29.81017,94.96879,7.334936,40.23024,5.412251
29.86381,96.03425,8.163074,44.6002,5.412751
29.8773,96.36913,8.938085,88.62762,5.458177
29.87478,96.9118,8.942659,56.17355,4.911274
29.87258,96.99119,8.734509,38.48857,5.037113
29.86738,95.53236,9.172725,57.55016,5.681357
29.89566,94.53375,10.05425,59.76054,7.271644
29.9202,95.31478,10.49531,56.6604,6.538353
29.91365,94.68573,10.21078,52.01693,6.986064
29.91337,94.61952,10.17251,44.12108,7.043395
29.89524,94.56231,9.698314,33.20348,6.550533
29.90414,94.60769,9.14907,49.68005,6.399932
29.8856,94.70116,8.771662,44.54973,5.615604
29.91311,94.54013,9.138946,51.34837,7.239089
29.94126,94.70404,9.919482,73.32381,7.530107
29.94187,94.79439,10.30793,69.43696,7.761378
29.96351,95.02355,10.19656,52.50296,7.138713
29.91874,94.79451,9.636886,46.10387,6.945801
29.95669,94.84077,9.476407,47.54958,7.116426
30.01883,96.68864,10.59377,74.68202,7.22365
29.95721,94.91765,9.787987,48.19667,7.100625
29.9164,94.8567,9.054592,52.45229,6.849451
29.962,94.93201,10.00635,42.27018,7.031749
29.90355,94.75425,9.1108,59.71958,6.234838
29.88162,94.74398,7.950547,65.73718,6.346014
29.89006,94.77339,8.405551,44.32977,6.759409
29.9612,95.06072,9.569884,45.31158,6.351876
30.01513,95.72813,11.33293,41.6284,6.954537
30.03336,95.95487,11.66144,38.87139,7.006606
30.00185,95.1244,10.5415,58.2875,7.001235
29.96933,95.19244,9.166162,64.07301,7.57075
29.99086,95.26463,9.450859,56.62229,7.841684
29.93085,95.37573,8.699418,62.66885,6.279681
29.97409,95.10166,9.815466,42.29137,6.975413
29.89675,94.77325,8.665739,75.79777,6.002176
29.87036,94.75531,7.837404,33.52765,6.253208
30.02494,95.27232,10.70294,46.58981,7.168272
30.09457,95.52328,11.21565,74.78582,6.679136
30.04118,95.34003,10.19461,60.48956,6.703695
29.98708,95.2002,9.297822,47.09977,6.589324
30.00332,95.27409,9.81468,45.04257,7.750717
30.01351,95.4109,10.01628,37.47215,7.746588
30.01004,95.42694,9.813569,83.41963,7.15811
29.97569,95.35808,9.172997,79.31127,7.448049
29.99878,95.39861,9.56354,50.81235,7.321597
29.96252,95.28088,9.733439,39.15584,6.878379
30.0496,95.57597,10.04913,53.431,8.041988
30.08733,95.69883,10.35112,94.47755,7.606308
30.11359,95.71018,10.74738,89.96615,7.227353
30.09579,95.79724,10.59473,64.65652,7.730203
30.03503,95.49564,9.331654,47.98424,6.883194
30.03295,95.6199,9.0941,45.6454,7.164683
30.05018,95.57814,9.777944,67.3767,7.332212
30.03752,95.59184,9.265817,61.12244,7.395308
29.96239,95.20468,8.537091,47.36537,6.505666
29.9974,95.50003,8.745621,61.32457,6.925761
30.04196,95.77277,8.890284,69.10656,6.685955
30.01992,95.88114,8.687861,29.26402,6.15553
30.02429,96.1797,8.644259,44.0263,6.276839
30.03857,96.03944,8.732944,49.27309,6.283568
29.97159,96.23679,8.209437,42.80218,6.486778
30.00241,95.63654,8.295997,64.6369,6.641474
30.11458,95.46182,10.33558,76.63712,6.919816
30.10156,95.47182,10.39718,47.83407,6.803844
30.08247,95.43003,10.03481,60.78014,6.708063
30.09833,95.76057,9.919432,79.86911,6.771375
30.05705,96.04566,9.18752,50.99441,6.322362
30.07554,97.02706,9.232968,85.4642,6.595404
30.01949,96.47669,8.294913,50.83601,6.190762
30.04283,97.66572,8.249134,68.295,5.985226
30.03737,97.28165,8.456991,40.01331,5.822987
30.03324,96.8312,7.792179,61.87848,5.691834
30.04416,96.45347,8.538198,47.76353,5.837328
30.07347,96.81831,8.211079,71.36079,5.752937
30.05058,96.61208,8.381048,45.48634,6.137782
30.11518,97.03519,8.643106,45.55644,6.001482
30.16995,96.41328,8.541777,43.30206,5.712332
30.1116,96.54338,7.543892,40.27203,5.629853
30.04882,96.56081,7.408123,46.53907,5.770561
30.07083,96.57869,7.066898,46.12148,5.971919
30.06953,96.70765,7.197773,49.20562,5.649893
30.11754,96.82481,7.126539,43.36155,5.117709
30.10342,97.09903,5.99956,30.33768,4.864456
29.98304,96.77173,5.535332,38.33221,5.214451
30.01598,96.4725,6.828736,45.55269,5.332645
30.02145,96.47552,6.465862,50.439,5.308135
30.03432,96.631,5.934065,39.3127,5.554316
30.07733,96.84865,6.396714,56.68132,4.983159
30.05208,96.53543,6.822499,55.22594,5.426305
30.1296,96.99206,8.091791,34.83958,5.726954
30.04148,96.86201,7.040421,44.64273,5.41141
30.08268,96.96542,7.706584,58.73813,5.414334
30.24623,96.8063,7.769708,39.57648,5.404242
30.11666,96.75542,7.393027,31.65898,6.018926
30.00877,96.81221,5.881304,89.78136,5.195261
30.04428,96.91886,7.018602,59.97838,5.068712
30.08692,97.18751,6.718083,63.08466,5.193946
30.08417,97.29577,6.163559,37.98596,5.171661
30.11227,97.19294,7.126412,41.29799,5.317278
30.25405,97.73656,7.243283,51.17653,5.397743
30.11862,97.31172,6.28189,45.14684,5.142408
30.11745,96.94939,6.98567,66.4635,5.238078
30.27367,97.1438,7.882458,47.91512,5.569445
30.13768,97.49777,6.951693,30.43139,4.861649
30.19147,97.14664,7.862545,38.11872,5.141569
30.17154,97.08276,7.705862,52.24096,5.346581
30.17206,97.27275,7.864751,55.56628,5.273616
30.16416,97.43666,6.352717,32.57748,5.149148
30.26471,97.08617,8.79418,45.12542,5.136917
30.27958,96.9894,8.78129,35.27777,5.575266
30.34871,97.45036,10.28312,54.64052,5.347599
30.24951,97.07796,8.595931,36.21142,5.534105
30.0941,97.36036,6.424961,29.60905,4.892355
30.14468,96.83778,7.631113,59.87537,5.258956
30.26506,97.37222,9.976719,48.14693,5.793677
30.18395,96.95056,9.350437,77.07224,5.588217
30.12839,97.20613,8.232149,65.79467,5.069564
30.15069,96.79021,9.547653,41.33676,5.342203
30.13103,96.66586,8.875648,42.48169,5.098644
30.14933,96.52076,8.985046,48.88101,5.416111
30.14778,96.42171,8.915331,78.04926,5.565414
30.12609,96.21348,8.88452,54.53344,5.509968
30.14173,96.42755,9.937064,49.67471,5.810157
30.12682,96.94041,10.474,108.0424,6.027001
30.1108,96.35466,10.73495,61.94295,6.634876
30.09453,96.56476,10.56939,40.65622,5.947721
30.08122,96.4001,10.67171,68.51077,6.278184
30.04145,95.8537,10.50754,57.96134,6.523533
29.98106,95.80946,7.920969,44.39853,5.751545
29.96113,95.724,9.043598,40.74281,5.751988
29.95229,95.70972,9.332244,85.40928,5.905855
29.95551,95.70765,8.731383,55.02906,5.746228
29.95793,95.62586,9.064768,71.56642,5.786066
29.93114,95.87218,7.904915,42.24083,5.953861
29.93371,95.86268,8.372409,53.39203,5.595363
29.96191,95.78527,8.917871,54.01262,6.121158
29.95317,95.94664,8.598201,77.59203,5.801968
29.91949,95.98503,7.115209,55.93714,5.782881
29.95958,95.72117,8.478548,46.00964,6.308054
29.95487,95.67325,8.063795,45.49,6.355829
29.96489,95.67198,8.209523,36.65407,6.511371
29.94693,95.81129,7.661682,46.52715,5.559563
29.97458,96.25026,6.96026,41.39618,5.741461
29.98231,96.4016,7.113033,46.45453,5.529077
29.98595,96.43259,7.316706,47.41698,5.590633
30.06824,96.05874,8.301788,64.35166,6.721296
30.07794,96.34904,8.956988,60.3181,7.259414
30.08172,96.94408,9.521778,37.21976,6.696384
30.04692,96.66211,8.233341,49.74863,6.187653
30.02633,96.43221,7.877046,42.11831,5.550057
30.03177,96.3373,7.599479,36.78172,5.677382
30.05868,96.47687,8.079679,55.95976,6.086225
30.05355,96.46175,7.941552,38.33185,5.760372
30.12627,96.66544,9.589427,55.29875,8.506218
30.16545,96.81953,9.941761,49.40152,8.378185
30.17419,96.78959,10.20953,56.64144,7.995092
30.07692,96.61938,8.684472,24.13222,5.120267
30.07404,96.58358,7.583588,62.28234,5.665533
30.10099,96.66081,8.511869,78.16237,5.607459
30.08157,96.5416,8.262247,33.21098,5.599356
30.09217,96.61176,7.739863,66.84477,6.162948
30.1173,96.633,8.443068,41.68175,6.500381
30.1849,96.66839,9.680646,45.16344,7.29896
30.10861,96.60184,8.360281,59.48322,6.007673
30.12036,96.63025,8.354716,54.54317,6.910597
30.11895,96.41304,8.52704,46.01923,6.019696
30.06967,96.47387,7.475544,36.98244,5.400689
30.10861,96.49783,7.43911,50.85344,6.209511
30.20213,96.70923,9.701694,43.43148,7.38304
30.19513,96.7282,9.56544,58.71947,7.168227
30.21811,96.74728,9.451316,47.12055,7.26768
30.20075,96.61168,9.873275,43.94284,6.730133
30.07263,96.51289,7.273995,52.14868,5.637174
30.08455,96.4848,7.545942,30.24888,5.739026
30.09131,96.69505,8.027547,36.21203,6.267219
30.14213,96.63802,8.860237,71.10376,6.572476
30.11979,96.60741,8.216619,67.43959,6.442272
30.18236,96.6872,9.260035,73.87504,6.852374
30.20537,96.66116,9.504837,48.29633,7.268757
30.164,96.57343,8.963265,65.91119,6.919273
30.20998,96.74549,9.57119,50.54398,7.416945
30.24803,96.98769,9.818719,44.9129,7.508171
30.20654,97.0636,8.37781,45.41778,7.223408
30.23086,96.87009,9.141766,44.91835,6.930756
30.17649,96.65009,8.82816,65.96153,6.494328
30.12898,96.54424,8.119044,51.4241,6.188673
30.15019,96.70319,8.415243,42.12021,5.908402
30.10788,96.63733,7.676761,48.2459,5.411361
30.18262,97.02865,8.670735,46.86083,6.798638
30.1738,97.13416,7.856852,41.93814,6.638611
30.2579,97.25598,8.552748,43.9763,6.645989
30.17507,97.21516,7.995029,47.64068,5.942758
30.18605,97.21521,7.936488,59.36857,6.283905
30.13054,97.1368,7.610188,40.91526,5.956239
30.24875,97.19175,8.187526,38.62357,6.013398
30.19142,97.12724,8.071391,45.88819,6.001408
30.17801,97.1011,7.612255,66.5166,6.34124
30.17109,97.14748,7.590224,39.60899,6.190766
30.1525,97.07423,7.441665,48.7143,5.94943
30.18609,97.11709,7.544333,44.23013,5.879012
30.39236,97.1732,9.301268,70.6671,6.342926
30.2391,97.00549,8.118335,39.15893,5.917379
30.17733,96.84334,7.627547,35.34516,5.551841
30.13512,96.96252,6.925718,39.93332,5.342197
30.14215,96.95661,7.004706,47.10505,5.464032
30.14189,97.0572,6.904849,51.64494,5.586929
30.40207,97.41933,8.689412,74.31484,6.101797
30.44683,97.34973,9.523763,47.33084,6.244403
30.25788,97.06016,8.601741,35.53793,5.562478
30.13931,96.95199,6.751587,28.85157,5.081512
30.17613,96.92855,6.880093,30.8112,5.442936
30.18192,97.31404,7.37716,47.13559,5.647264
30.1333,97.50033,6.734995,43.94864,5.108251
30.2878,97.6954,8.506434,90.31808,5.662095
30.23512,97.64577,8.065506,59.72972,5.513982
30.21466,97.47369,7.511207,60.55748,5.241133
30.30876,97.26296,8.697825,33.72475,5.642232
30.30769,97.16272,8.726395,37.76625,5.866075
30.37373,97.68785,7.808702,32.39278,6.002898
30.46486,97.38346,9.419834,65.13547,6.048418
30.33301,97.21481,9.063987,36.69414,5.839975
30.2036,96.89002,7.761513,41.67365,5.233752
30.18969,97.2457,7.157664,38.39729,5.323217
