Temperature,Specific conductance,Dissolved oxygen,pH,Turbidity,Chlorophyll
21.2,220,10,9,0.7,3
21.2,220,10,9,0.9,3.1
21.1,220,10,9,0.8,3.1
21.1,220,9.9,9,0.7,2
20.8,220,9.9,9,0.6,2
21,220,9.7,9,0.6,1.8
20.8,220,9.7,9,0.6,2
21.1,220,9.6,9,0.6,3.3
21.3,220,9.6,9,0.7,4.4
21.2,220,9.6,9,0.6,2.8
21.1,220,9.5,8.9,0.6,3
21,220,9.5,8.9,1.1,2.9
20.9,220,9.5,8.9,0.9,2.5
20.8,220,9.5,8.9,1.4,3.1
20.7,220,9.4,8.9,1.4,2.9
20.7,220,9.4,8.9,0.9,2.9
20.7,220,9.5,9,1.8,1.6
20.8,221,9.4,8.9,0.6,2.6
21,220,9.4,8.9,0.8,3.1
21,220,9.5,8.9,0.6,1.3
21.4,220,9.5,9,0.7,2
22.3,221,9.5,8.9,0.8,1.9
22.7,221,9.4,8.9,0.8,2.8
22.2,221,9.6,8.9,0.8,1.7
21.6,220,9.6,8.9,0.9,2.3
21.4,220,9.6,9,0.7,3.3
21.7,220,9.6,9,0.9,2.8
21.6,220,9.6,8.9,0.9,2.4
21.5,220,9.5,8.9,0.9,2.6
21.5,220,9.4,8.9,1.1,4
21.4,220,9.4,8.9,0.8,2.9
21.3,220,9.4,8.9,1.3,2.4
21.2,220,9.4,8.9,0.9,2.5
21.1,220,9.3,8.9,0.7,3.4
21.2,220,9.2,8.9,1.4,6.2
21.1,220,9.2,8.9,1.5,3.3
21,220,9.2,8.9,0.8,3.5
20.9,220,9.2,8.9,0.8,3.5
20.8,220,9.2,8.9,2.6,4.2
20.8,220,9.2,8.9,0.8,3.1
20.8,220,9.3,8.9,1.1,2
20.9,220,9.3,8.9,0.8,2.3
21.1,220,9.3,8.9,0.8,1.9
21.3,220,9.3,8.9,0.6,1.9
21.5,220,9.3,8.9,0.5,3.8
21.8,220,9.3,8.9,0.5,3
22.2,221,9.4,8.9,0.5,1.6
22,220,9.4,8.9,0.5,3
22.3,221,9.4,8.9,0.5,1.5
21.5,221,9.6,8.9,0.6,2.2
21.9,221,9.4,8.9,0.7,2
21.4,220,9.7,9,0.6,1.9
21.2,220,9.8,9,0.9,2.9
21.3,221,9.4,8.9,0.5,2.2
21.4,221,9.5,9,0.6,5.1
21.2,220,9.4,9,0.5,2.7
21.2,220,9.4,8.9,0.6,2.5
21.2,221,9.4,8.9,0.9,1.8
21.3,221,9.4,8.9,0.5,3.5
21.2,221,9.3,8.9,0.8,5.6
21.1,221,9.3,8.9,0.7,2.9
21.1,221,9.3,8.9,0.7,3.3
21,221,9.2,8.9,0.7,3.6
21,221,9.2,8.9,0.6,9
21.1,221,9.3,8.9,0.6,2.5
21.3,221,9.3,8.9,0.5,2.9
21.5,221,9.4,8.9,0.5,3.4
21.8,221,9.4,8.9,0.5,1.7
22.1,221,9.3,8.9,0.6,1.9
22.4,222,9.3,8.9,0.6,2
21.3,221,9.5,8.9,0.7,2.5
20.4,221,9.7,8.9,0.8,3.4
20.7,221,9.7,8.9,0.7,2.8
21.3,222,9.6,8.9,0.5,3.2
21.5,221,9.6,8.9,0.5,3.4
21.5,222,9.5,8.9,0.6,3.5
21.5,221,9.5,8.9,0.8,3.3
21.4,222,9.5,8.9,2.9,3.9
21.4,222,9.4,8.9,0.5,11.4
21.3,222,9.4,8.9,0.6,8.6
21.3,222,9.4,8.9,0.6,3.5
21.3,221,9.3,8.9,0.6,3.3
21.3,222,9.3,8.9,0.8,2.3
21.2,221,9.2,8.9,0.8,3.3
21.2,222,9.2,8.9,1,3.2
21.1,222,9.2,8.9,0.5,4.9
21,222,9.2,8.9,0.7,5.6
21,221,9.2,8.9,0.6,1.8
21,221,9.2,8.9,0.6,4.5
21,221,9.2,8.9,0.8,2.8
21.1,221,9.2,8.9,0.5,2.4
21.2,222,9.2,8.9,0.6,2.3
21,222,9.4,8.9,0.7,1.8
21,222,9.5,8.9,0.7,2.2
20.4,223,9.7,8.9,0.8,2.5
20.1,224,9.6,8.9,0.9,2.9
20.5,224,9.5,8.9,1.1,4.8
21.2,223,9.3,8.9,0.8,3.8
21.2,223,9.3,8.9,0.7,3
21.1,223,9.3,8.9,0.6,3.7
21,223,9.3,8.9,0.8,3.9
20.8,223,9.3,8.9,0.6,4.9
20.8,223,9.2,8.9,0.6,5.4
20.6,223,9.2,8.9,0.5,12.8
20.6,223,9.2,8.9,1.1,3
20.8,223,9.1,8.9,0.6,2.3
20.7,223,9.1,8.9,0.7,4.8
20.7,223,9,8.9,0.6,3.6
20.6,223,9,8.9,0.7,5.1
20.6,223,9,8.9,0.5,4.8
20.5,223,9,8.9,0.5,3.3
20.4,223,9,8.9,0.6,3.9
20.3,223,9.1,8.9,0.6,3.2
20.3,223,9.1,8.9,0.7,2.3
20.4,223,9.2,8.9,0.7,2.9
20.5,223,9,8.9,0.7,2.8
20.4,223,9.1,8.9,0.8,2.7
20.5,223,9.2,8.9,0.9,3.4
20.6,223,9.2,8.9,0.9,3.4
20.5,223,9.2,8.9,0.8,3
20.6,223,9.2,8.9,0.6,3.9
20.6,223,9.3,8.9,0.7,4.5
20.5,223,9.3,8.9,0.6,4
20.5,223,9.3,8.9,0.6,3.9
20.2,223,9.2,8.9,0.7,4.6
20.1,223,9.2,8.9,0.8,3.5
20.2,223,9.1,8.9,0.7,4.3
20,223,9.1,8.9,2,5
20,223,9.1,8.9,0.6,6
20,223,9.1,8.9,0.6,4.5
20,223,9,8.9,0.6,3.9
20,223,9,8.9,0.6,5.6
19.9,223,9,8.9,0.7,4.5
19.8,223,9,8.9,0.8,4.7
19.8,223,9,8.9,1.1,7.5
19.7,223,9,8.9,2.1,4.9
19.7,223,9,8.9,0.6,3.7
